_ - congress,_ - introducedDate,_ - type,_ - url,_ - amendmentNumber,_ - number,_ - title,_ - latestAction,_ - latestAction - actionDate,_ - latestAction - text,_ - latestAction - actionTime,_ - policyArea - name
104,1995-10-13,,https://api.congress.gov/v3/amendment/104/samdt/2920?format=json,2920,,,,,,,
104,1995-10-11,,https://api.congress.gov/v3/amendment/104/samdt/2898?format=json,2898,,,,1995-10-19,Amendment SP 2898 agreed to in Senate by Voice Vote. ,,
104,1995-09-29,,https://api.congress.gov/v3/amendment/104/samdt/2878?format=json,2878,,,,1995-09-29,Amendment SP 2878 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2765?format=json,2765,,,,1995-09-21,Amendment SP 2765 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2761?format=json,2761,,,,1995-09-21,Amendment SP 2761 agreed to in Senate by Voice Vote. ,,
104,1995-09-19,,https://api.congress.gov/v3/amendment/104/samdt/2701?format=json,2701,,,,1995-09-19,Amendment SP 2701 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2763?format=json,2763,,,,1995-09-21,Amendment SP 2763 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2764?format=json,2764,,,,1995-09-21,Amendment SP 2764 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2726?format=json,2726,,,,1995-09-21,Amendment SP 2726 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2760?format=json,2760,,,,1995-09-21,Amendment SP 2760 agreed to in Senate by Voice Vote. ,,
104,1995-09-21,,https://api.congress.gov/v3/amendment/104/samdt/2762?format=json,2762,,,,1995-09-21,Amendment SP 2762 agreed to in Senate by Voice Vote. ,,
104,1995-09-20,,https://api.congress.gov/v3/amendment/104/samdt/2707?format=json,2707,,,,1995-09-21,Proposed amendment SP 2707 withdrawn in Senate. ,,
104,1995-09-19,,https://api.congress.gov/v3/amendment/104/samdt/2692?format=json,2692,,,,1995-09-19,Amendment SP 2692 agreed to in Senate by Voice Vote. ,,
104,1995-09-15,,https://api.congress.gov/v3/amendment/104/samdt/2683?format=json,2683,,,,1995-09-19,Amendment SP 2683 as modified agreed to in Senate by Yea-Nay Vote. 87-12. Record Vote No: 442. ,,
104,1995-09-05,,https://api.congress.gov/v3/amendment/104/samdt/2437?format=json,2437,,,,1995-09-05,Amendment SP 2437 agreed to in Senate by Voice Vote. ,,
104,1995-08-10,,https://api.congress.gov/v3/amendment/104/samdt/2379?format=json,2379,,,,,,,
104,1995-08-10,,https://api.congress.gov/v3/amendment/104/samdt/2356?format=json,2356,,,,1995-08-10,Amendment as modified agreed to in Senate by Voice Vote. ,,
104,1995-08-05,,https://api.congress.gov/v3/amendment/104/samdt/2280?format=json,2280,,,,1995-09-19,Amendment SP 2280 as modified agreed to in Senate by Unanimous Consent. ,,
104,1995-08-05,,https://api.congress.gov/v3/amendment/104/samdt/2199?format=json,2199,,,,,,,
104,1995-08-03,,https://api.congress.gov/v3/amendment/104/samdt/2097?format=json,2097,,,,1995-08-03,Amendment SP 2097 agreed to in Senate by Voice Vote. ,,
104,1995-08-01,,https://api.congress.gov/v3/amendment/104/samdt/2073?format=json,2073,,,,1995-08-01,Amendment SP 2073 agreed to in Senate by Voice Vote. ,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/2025?format=json,2025,,,,1995-12-14,Proposed amendment SP 2025 withdrawn in Senate. ,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1985?format=json,1985,,,,,,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1909?format=json,1909,,,,,,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1913?format=json,1913,,,,,,,
104,1995-07-24,,https://api.congress.gov/v3/amendment/104/samdt/1845?format=json,1845,,,,1995-07-24,Amendment SP 1845 agreed to in Senate by Voice Vote. ,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1908?format=json,1908,,,,,,,
104,1995-07-18,,https://api.congress.gov/v3/amendment/104/samdt/1801?format=json,1801,,,,1995-07-26,Amendment SP 1801 agreed to in Senate by Voice Vote. ,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1912?format=json,1912,,,,,,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1910?format=json,1910,,,,,,,
104,1995-07-31,,https://api.congress.gov/v3/amendment/104/samdt/1911?format=json,1911,,,,,,,
104,1995-07-24,,https://api.congress.gov/v3/amendment/104/samdt/1844?format=json,1844,,,,1995-07-24,Amendment SP 1844 agreed to in Senate by Voice Vote. ,,
104,1995-07-20,,https://api.congress.gov/v3/amendment/104/samdt/1828?format=json,1828,,,,1995-07-20,Amendment SP 1828 agreed to in Senate by Voice Vote. ,,
104,1995-07-20,,https://api.congress.gov/v3/amendment/104/samdt/1807?format=json,1807,,,,1995-07-20,Amendment SP 1807 agreed to in Senate by Yea-Nay Vote. 91-8. Record Vote No: 314. ,,
104,1995-07-13,,https://api.congress.gov/v3/amendment/104/samdt/1525?format=json,1525,,,,1995-07-13,Proposed amendment SP 1525 withdrawn in Senate. ,,
104,1995-07-11,,https://api.congress.gov/v3/amendment/104/samdt/1493?format=json,1493,,,,1995-07-11,Amendment SP 1493 agreed to in Senate by Yea-Nay Vote. 99-0. Record Vote No: 299. ,,
104,1995-07-11,,https://api.congress.gov/v3/amendment/104/samdt/1495?format=json,1495,,,,1995-07-11,Proposed amendment SP 1495 withdrawn in Senate. ,,
104,1995-07-11,,https://api.congress.gov/v3/amendment/104/samdt/1492?format=json,1492,,,,1995-07-11,Amendment SP 1492 agreed to in Senate by Unanimous Consent. ,,
104,1995-07-11,,https://api.congress.gov/v3/amendment/104/samdt/1494?format=json,1494,,,,1995-07-11,Proposed amendment SP 1494 withdrawn in Senate. ,,
104,1995-07-11,,https://api.congress.gov/v3/amendment/104/samdt/1496?format=json,1496,,,,1995-07-11,Amendment SP 1496 agreed to in Senate by Voice Vote. ,,
104,1995-06-30,,https://api.congress.gov/v3/amendment/104/samdt/1487?format=json,1487,,,,1995-07-20,Considered by Senate. ,,
